GENE_NAMES	UNIPROT_ID	IN_CANCER_GENE_LISTS	MAPPED_UNIPROT_ID	PDBID-CHAIN	PDB_FRAGMENT	UNIPROT_SEQ_LENGTH	MAP_START	MAP_END	PERCENT_IDENTITY	NSITES	NSAMPLES	CLUMPS_P	CLUMPS_Q_FULL	CLUMPS_Q_RESTRICTED	NOTES
RIOK2	Q9BVS4		G0S5R3	4gyi-A	NA	552	25	314	53.1	36	44	0.114	0.803182	-1	
RNF11	Q9Y3C5		Q9H0F5	4v3k-C	NA	154	77	139	41.3	9	10	0.109	0.803182	-1	
RNF150	Q9ULK6		Q8TEB7	3icu-A	NA	438	36	205	35.6	34	38	0.114	0.803182	-1	
RPS6KA3	P51812		P51812	4jg6-A	NA	740	406	712	100	47	60	0.114	0.803182	-1	
S1PR1	P21453		P21453	3v2y-A	NA	382	16	326	100	71	86	0.112	0.803182	-1	
SALL2	Q9Y467		Q07230	2i13-A	NA	1007	367	496	26.3	16	20	0.114	0.803182	-1	
SEMA6D	Q8NFY4		O35464	3oky-B	NA	1073	23	568	62.2	131	153	0.109	0.803182	-1	
SENP5	Q96HI0		Q9HC62	1th0-A	NA	755	536	754	32.7	26	25	0.11	0.803182	-1	
SETMAR	Q53H47		Q53H47	3k9j-B	NA	684	453	684	100	13	14	0.113	0.803182	-1	
SFRP4	Q6FHJ7	S	P97401	1ijx-C	NA	346	22	146	73.6	30	38	0.112	0.803182	0.52819	
SFTPA2	Q8IWL1		P02466	3hqv-B	NA	248	27	100	51.2	23	27	0.114	0.803182	-1	
SHE	Q5VZ18		P43405	1a81-I	NA	495	352	472	26.4	16	22	0.112	0.803182	-1	
SIGLEC14	Q08ET2		P20917	5lf5-A	NA	396	19	336	25.3	39	52	0.11	0.803182	-1	
SLC27A3	Q5K4L6		Q08AH3	2wd9-B	NA	730	201	694	24.1	54	65	0.113	0.803182	-1	
SLC2A10	O95528		P0AGF4	4gbz-A	NA	541	411	513	38.5	22	24	0.11	0.803182	-1	
SLC37A2	Q8TED4		P08194	1pw4-A	NA	501	22	484	22.1	59	64	0.11	0.803182	-1	
SMOC2	Q9H3U7		P04233	1icf-I	NA	446	238	275	47.4	6	11	0.111	0.803182	-1	
SNRNP70	P08621		P08621	3cw1-6	NA	437	9	180	100	16	19	0.111	0.803182	-1	
SPARC	P09486		P09486	1bmo-B	NA	303	71	303	100	55	73	0.115	0.803182	-1	
SPOCK2	Q92563		P09486	1bmo-A	NA	424	89	306	22.6	28	32	0.115	0.803182	-1	
SPTBN5	Q9NRC6		P11277	1s35-A	NA	3674	3422	3520	22.9	15	17	0.112	0.803182	-1	
SSH1	Q8WYL5		P40479	2j16-B	NA	1049	293	450	27.3	20	27	0.11	0.803182	-1	
STK26	Q9P289		Q9P289	3ggf-A	NA	416	17	300	100	52	56	0.111	0.803182	-1	
STRAP	Q9Y3F4		B2J0I0	2ymu-A	NA	350	9	311	25.9	39	41	0.114	0.803182	-1	
TAAR2	Q9P1P5		P07550	3sn6-R	NA	351	40	330	28.2	59	67	0.109	0.803182	-1	
TGM5	O43548		Q08188	1l9m-B	NA	720	5	716	44.7	116	131	0.112	0.803182	-1	
THAP3	Q8WTV1		Q9NVV9	2l1g-A	NA	239	1	83	51.8	7	11	0.109	0.803182	-1	
TJP1	Q07157		Q07157	3cyy-B	NA	1748	183	263	100	15	14	0.1095	0.803182	-1	
TMPRSS11A	Q6ZMR5		Q8VHK8	2e7v-A	NA	421	46	169	29.4	30	33	0.115	0.803182	-1	
TMPRSS15	P98073		P04070	3f6u-L	NA	1019	657	739	23.7	15	26	0.114	0.803182	-1	
TTN	Q8WZ42		D0VWS0	3b43-A	NA	34350	2193	2693	21.3	125	168	0.112	0.803182	-1	
UBAP1	Q9NZ09		Q9NZ09	4ae4-A	NA	502	389	499	100	15	21	0.115	0.803182	-1	
UPF2	Q9HAU5		Q9HAU5	4cek-A	NA	1272	457	757	100	24	34	0.11	0.803182	-1	
USP46	P62068		P62068	5cvo-E	NA	366	31	366	100	49	57	0.115	0.803182	-1	
USP51	Q70EK9		P50102	3mhs-A	NA	711	249	703	30.5	56	60	0.112	0.803182	-1	
VPS4A	Q9UN37		O75351	1xwi-A	NA	437	116	436	85.4	44	47	0.109	0.803182	-1	
YTHDC2	Q9H6S0		Q9H6S0	2yu6-A	NA	1430	1288	1421	100	15	19	0.113	0.803182	-1	
ZADH2	Q8N4Q0		Q8N4Q0	2c0c-A	NA	377	33	371	100	44	49	0.113	0.803182	-1	
ZFP42	Q96MM3		P19544	2jp9-A	NA	310	172	299	32.8	43	78	0.109	0.803182	-1	
ZHX3	Q9H4I2		Q9UKY1	3nar-A	NA	956	765	835	53.5	10	11	0.113	0.803182	-1	
ZNF202	O95125		P28698	2fi2-A	NA	648	39	130	62	19	25	0.109	0.803182	-1	
ZNF212	Q9UDV6		D9IWL3	5v3g-A	NA	495	313	478	34.9	22	24	0.109	0.803182	-1	
ZNF304	Q9HCX3		Q8BG62	1v65-A	NA	659	14	55	42.9	12	15	0.112	0.803182	-1	
ZNF337	Q9Y3M9		Q07230	2i13-A	NA	751	245	398	48.7	19	21	0.111	0.803182	-1	
ZNF347	Q96SE7		Q96SE7	2yti-A	NA	839	564	596	100	11	13	0.11	0.803182	-1	
ZNF420	Q8TAQ5		D9IWL3	5v3g-A	NA	688	444	610	59.9	32	41	0.113	0.803182	-1	
ZNF460	Q14592		Q8BG62	1v65-A	NA	562	13	62	46	9	10	0.1125	0.803182	-1	
ZNF546	Q86UE3		P19544	4r2e-A	NA	836	774	829	51.7	7	12	0.115	0.803182	-1	
ZNF683	Q8IZ20		P03001	1tf6-D	NA	524	310	453	32.3	24	28	0.115	0.803182	-1	
ZNF724	A8MTY0		Q8BG62	1v65-A	NA	619	4	44	48.8	9	10	0.109	0.803182	-1	
ZNF860	A6NHJ4		D9IWL3	5v3g-A	NA	632	423	589	51.5	22	29	0.11	0.803182	-1	
CACNA1D	Q01668	"C,S"	Q14524	4dck-A	NA	2161	1468	1570	25.7	15	18	0.116	0.80381	0.52819	
CAPN14	A8MX76		P17655	1kfu-L	NA	684	27	682	37.7	63	65	0.116	0.80381	-1	
EPAS1	Q99814	S	Q99814	5ufp-A	NA	870	239	346	100	18	19	0.116	0.80381	0.52819	
EREG	O14944		O14944	5wb7-H	NA	169	64	107	100	10	10	0.116	0.80381	-1	
HS2ST1	Q7LGA3		Q76KB1	4ndz-C	NA	356	69	356	96.2	38	42	0.116	0.80381	-1	
HSP90AA1	P07900	S	P07900	3q6m-A	NA	732	294	697	100	53	54	0.116	0.80381	0.52819	
KRT15	P19012		P08670	3uf1-B	NA	456	135	255	35	18	45	0.116	0.80381	-1	
MACROD2	A1Z1Q3		A1Z1Q3	4iqy-A	NA	425	10	241	100	48	64	0.116	0.80381	-1	
MEX3B	Q6ZN04		Q5U5Q3	5www-A	NA	569	60	140	93.8	14	16	0.116	0.80381	-1	
MTFMT	Q96DP5		Q9KVU4	3q0i-A	NA	389	49	359	30.4	33	33	0.116	0.80381	-1	
MYH1	P12882		P12883	5cj1-A	NA	1939	1531	1575	77.8	12	16	0.116	0.80381	-1	
NDRG1	Q92597	S	Q9UN36	2xmr-C	NA	394	33	316	58.8	47	51	0.116	0.80381	0.52819	
PDE3A	Q14432		Q13370	1soj-B	NA	1141	664	1087	67.4	115	141	0.116	0.80381	-1	
PKD1L1	Q8TDX9		Q46085	4u7k-E	NA	2849	536	586	20.8	10	11	0.116	0.80381	-1	
PKN1	Q16512		Q16512	4oth-A	NA	942	606	940	100	41	47	0.116	0.80381	-1	
PLA2R1	Q13018		P06734	1t8c-A	NA	1463	957	1099	30.1	13	14	0.116	0.80381	-1	
PSME2	Q9UL46		P97372	5mx5-F	NA	239	3	234	93.5	28	31	0.116	0.80381	-1	
SARM1	Q6SZW1		Q8C8U0	3tad-D	NA	724	412	536	27.1	15	14	0.116	0.80381	-1	
TBC1D5	Q92609		Q8WUA7	2qfz-B	NA	795	163	396	25.5	24	31	0.116	0.80381	-1	
TNFRSF4	P43489		P43489	2hev-R	NA	277	29	168	100	14	13	0.1155	0.80381	-1	
TOM1	O60784		O60784	1wrd-A	NA	492	215	307	100	17	21	0.116	0.80381	-1	
TPH1	P17752		P17752	1mlw-A	NA	444	104	393	100	56	60	0.116	0.80381	-1	
TYRO3	Q06418		Q07912	4hzs-D	NA	890	512	853	34.5	44	49	0.116	0.80381	-1	
ACAT1	P24752		P24752	2f2s-B	NA	427	41	427	100	47	49	0.117	0.80634	-1	
BRD8	Q9H0E9		Q15059	2e7n-A	NA	1235	1102	1202	35.6	15	19	0.117	0.80634	-1	
CA9	Q16790		Q16790	5dvx-A	NA	459	140	399	100	49	52	0.117	0.80634	-1	
CDH3	P22223		P22223	4zmt-F	NA	829	108	316	100	21	22	0.117	0.80634	-1	
CDK16	Q00536		Q00536	5g6v-B	NA	496	163	475	100	31	33	0.117	0.80634	-1	
DST	Q03001		P15924	3r6n-A	NA	7570	601	1056	38.2	64	74	0.117	0.80634	-1	
FBXO10	Q9UK96		Q44493	2pyg-A	NA	956	720	845	29.6	21	26	0.117	0.80634	-1	
HOXD4	P09016		P09077	2r5z-A	NA	255	127	214	74.4	17	23	0.117	0.80634	-1	
KIR3DL3	Q8N743		P43629	5t70-G	NA	410	27	315	73.7	12	15	0.117	0.80634	-1	
LIPG	Q9Y5X9		P54315	2ppl-A	NA	500	46	466	31.8	66	78	0.117	0.80634	-1	
MMP16	P51512		P50281	3c7x-A	NA	607	340	536	62.4	86	117	0.117	0.80634	-1	
MSL3	Q8N5Y2		Q8N5Y2	3oa6-B	NA	521	9	92	100	12	14	0.117	0.80634	-1	
NCF1	P14598		P14598	1kq6-A	NA	390	2	141	100	22	24	0.117	0.80634	-1	
WDR72	Q3MJ13		O24456	3dm0-A	NA	1102	20	230	27.1	31	39	0.117	0.80634	-1	
ZNF35	P13682		D9IWL3	5v3g-A	NA	527	303	469	55.1	22	27	0.117	0.80634	-1	
ZNF521	Q96K83	S	P49711	5yef-A	NA	1311	1139	1304	23.4	38	47	0.117	0.80634	0.529655	
ABCD4	O14678		Q09427	5twv-H	NA	606	132	579	22.6	44	46	0.118	0.807207	-1	
BAZ1A	Q9NRL2		Q92784	5i3l-A	NA	1556	1128	1195	32.4	10	10	0.118	0.807207	-1	
CBLB	Q13191	"C,S"	Q13191	3zni-M	NA	982	38	427	100	72	82	0.118	0.807207	0.529655	
CNTNAP2	Q9UHC6		O60462	4qds-A	NA	1331	10	51	30.2	10	16	0.118	0.807207	-1	
CRY2	Q49AN0		Q9R194	4i6j-A	NA	593	22	528	98.4	64	74	0.118	0.807207	-1	
E4F1	Q66K89		D9IWL3	5v3g-A	NA	784	346	542	23.4	26	33	0.118	0.807207	-1	
EEF1E1	O43324		O43324	2uz8-B	NA	174	1	170	100	33	34	0.118	0.807207	-1	
HEG1	Q9ULI3		P46531	2vj3-A	NA	1381	966	1055	32.2	12	13	0.118	0.807207	-1	
IFIT3	O14879		P09913	4g1t-B	NA	490	8	437	58.1	53	60	0.118	0.807207	-1	
IGFBP5	P24593		P24592	1rmj-A	NA	272	190	269	45	14	15	0.118	0.807207	-1	
IL2RB	P14784		P14784	3qaz-K	NA	551	32	233	100	29	33	0.118	0.807207	-1	
KIF23	Q02241		Q02241	3vhx-F	NA	960	803	904	100	11	14	0.118	0.807207	-1	
MINDY2	Q8NBR6		Q8N5J2	5jkn-A	NA	621	240	496	69.7	25	25	0.118	0.807207	-1	
OR6S1	Q8NH40		P29274	5k2b-A	NA	331	31	312	25.8	61	74	0.118	0.807207	-1	
PCDHB15	Q9Y5E8		Q99PJ1	5kj4-A	NA	787	554	705	27	24	31	0.118	0.807207	-1	
PDCD4	Q53EL6		Q53EL6	2zu6-B	NA	469	163	450	100	35	38	0.118	0.807207	-1	
RBP3	P10745		F1Q9N9	4lur-A	NA	1247	23	335	42.8	65	80	0.118	0.807207	-1	
RPS12	P25398		P25398	5a2q-M	NA	132	10	132	100	14	19	0.118	0.807207	-1	
SLC15A1	P46059		Q8EKT7	4uvm-A	NA	708	584	670	41	16	15	0.118	0.807207	-1	
SYCP2	Q9BX26		Q9CUU3	5iwz-A	NA	1530	1	390	82.3	67	75	0.118	0.807207	-1	
TRIM17	Q9Y577		Q96PU4	1z6u-B	NA	477	1	95	27.1	12	12	0.118	0.807207	-1	
ZNF521	Q96K83	S	Q13105	2lvt-A	NA	1311	273	308	38.9	11	11	0.118	0.807207	0.529655	
ABTB1	Q969K4		O43791	3htm-B	NA	478	240	404	27.9	21	25	0.119	0.808874	-1	
AHSA1	O95433		O95433	1x53-A	NA	338	204	335	100	15	18	0.119	0.808874	-1	
ASH1L	Q9NR48		Q90941	1w4s-A	NA	2969	2701	2806	32.1	18	23	0.119	0.808874	-1	
CPSF6	Q16630		Q16630	3q2s-C	NA	551	81	173	100	11	13	0.119	0.808874	-1	
FGF1	P05230		P05230	3o3q-C	NA	155	23	155	100	19	21	0.119	0.808874	-1	
GNA11	P29992	"C,S"	P21279	4gnk-A	NA	359	18	354	90.5	51	117	0.119	0.808874	0.529655	
HSD3B2	P26439		Q5FNR0	3wj7-A	NA	372	5	341	26.3	60	75	0.119	0.808874	-1	
IFNAR2	P48551		P48551	1n6u-A	NA	515	28	237	100	28	28	0.119	0.808874	-1	
NOVA1	P51513		P51513	2anr-A	NA	510	49	249	100	52	70	0.119	0.808874	-1	
PLCG1	P19174	"C,S"	P19174	4ey0-C	NA	1290	547	789	100	35	43	0.119	0.808874	0.529655	
PRSS36	Q5K4E3		Q16651	3e0n-B	NA	855	47	302	42.2	30	30	0.119	0.808874	-1	
PTPRF	P10586		Q92673	2dm4-A	NA	1907	708	818	29.8	12	15	0.119	0.808874	-1	
REXO5	Q96IC2		P53010	4q8h-A	NA	774	222	395	31	28	31	0.119	0.808874	-1	
RNF149	Q8NC42		Q8TEB7	3icu-A	NA	400	32	197	41.8	21	19	0.119	0.808874	-1	
RTKN2	Q8IZC4		Q9NQW6	2y7b-A	NA	609	281	399	21.3	11	12	0.119	0.808874	-1	
SLC4A7	Q9Y6M7		Q2Y0W8	5jho-A	NA	1214	90	222	73.7	24	25	0.119	0.808874	-1	
TBX21	Q9UL17		Q9JKD8	5t1j-B	NA	535	136	327	98.4	27	29	0.119	0.808874	-1	
UGT2A1	Q9Y4X1		Q8KNE0	3iaa-B	NA	527	39	398	23.8	73	85	0.119	0.808874	-1	
USH2A	O75445		P02751	1fnf-A	NA	5202	4440	4824	20.4	90	117	0.119	0.808874	-1	
ADGRE4P	Q86SQ3		P34998	4z9g-A	NA	457	189	444	24.9	12	12	0.123	0.809055	-1	
ADI1	Q9BV57		Q9BV57	4qgn-A	NA	179	1	178	100	20	24	0.123	0.809055	-1	
ALPI	P09923		P05187	1zeb-A	NA	528	20	499	87.9	91	114	0.121	0.809055	-1	
ANKIB1	Q9P2G1		Q96NW4	4b93-B	NA	1089	47	197	28.5	19	21	0.121	0.809055	-1	
AP3B1	O00203		P52303	1w63-J	NA	1094	42	635	29.1	80	82	0.125	0.809055	-1	
ARFGAP1	Q8N6T3		Q8N6T3	3o47-A	NA	406	5	138	100	19	25	0.125	0.809055	-1	
ARNT	P27540	S	P27540	5nj8-D	NA	789	84	342	100	18	22	0.124	0.809055	0.535316	
ATRX	P46100	"C,S"	P22082	5x0y-O	NA	2492	2017	2263	30.7	44	55	0.122	0.809055	0.534388	
BDH2	Q9BUT1		Q9BUT1	2ag5-A	NA	245	1	245	100	28	31	0.124	0.809055	-1	
BFAR	Q9NZS9		Q99496	3rpg-C	NA	450	30	97	39.7	11	10	0.125	0.809055	-1	
BICC1	Q9H694		Q9H694	4rqm-A	NA	974	874	936	100	11	12	0.12	0.809055	-1	
BRD3	Q15059	S	Q15059	2e7n-A	NA	726	306	415	100	18	25	0.123	0.809055	0.535316	
BTBD11	A6QL63		Q9NVR0	4ap2-A	NA	1104	931	1087	24.9	31	40	0.123	0.809055	-1	
BTLA	Q7Z6A9		Q7Z6A9	2aw2-A	NA	289	34	137	100	16	18	0.12	0.809055	-1	
CADPS2	Q86UW7		Q9ULU8	1wi1-A	NA	1296	488	600	86.7	26	28	0.122	0.809055	-1	
CAPG	P40121		P40121	1j72-A	NA	348	11	348	100	41	51	0.12	0.809055	-1	
CASP1	P29466		P29466	5fna-H	NA	404	2	86	100	21	24	0.124	0.809055	-1	
CD40	P25942		P25942	5ihl-H	NA	277	23	189	100	25	33	0.125	0.809055	-1	
CD79B	P40259	"C,S,M"	P11912	1cv9-A	NA	229	192	203	41.7	4	18	0.124	0.809055	0.535316	
CEACAM20	Q6UY09		P06731	1e07-A	NA	596	66	435	33.1	53	57	0.12	0.809055	-1	
CYP1A2	P05177		P05177	2hi4-A	NA	515	34	513	100	82	87	0.123	0.809055	-1	
CYP2E1	P05181		P05181	3koh-A	NA	493	32	493	100	87	102	0.124	0.809055	-1	
CYP4F8	P98187		P15128	5t6q-A	NA	520	48	520	45.3	93	112	0.123	0.809055	-1	
DDX17	Q92841		O00571	4pxa-A	NA	729	163	544	45.4	63	69	0.121	0.809055	-1	
DHX32	Q7L7V1		O43143	5xdr-A	NA	743	40	717	41.5	90	93	0.122	0.809055	-1	
DNAH2	Q9P225		Q8NCM8	4rh7-A	NA	4427	1359	4423	29.4	450	397	0.1226	0.809055	-1	
DOCK4	Q8N1I0		Q14185	3l4c-B	NA	1966	401	576	40.4	37	42	0.12	0.809055	-1	
DYSF	O75923		Q9LVH4	5a4x-B	NA	2080	1154	1294	25.5	26	33	0.125	0.809055	-1	
EBF1	Q9UH73	S	Q9UH73	3mqi-A	NA	591	259	348	100	22	31	0.1195	0.809055	0.529655	
EIF2AK3	Q9NZJ5		Q9NZJ5	4g31-A	NA	1116	588	1080	100	40	45	0.121	0.809055	-1	
EPRS	P07814		P07814	1fyj-A	NA	1512	749	805	100	10	12	0.121	0.809055	-1	
ERCC6	Q03468		G2QFM3	5jxr-A	NA	1493	480	988	37.6	75	83	0.123	0.809055	-1	
ERP29	P30040		P30040	2qc7-B	NA	261	34	256	100	23	25	0.123	0.809055	-1	
F12	P00748		P00735	1a0h-D	NA	615	216	372	26.2	11	14	0.123	0.809055	-1	
FAR1	Q8WVX9		Q93TX2	4u7w-B	NA	515	11	286	28.6	37	34	0.123	0.809055	-1	
FCHSD1	Q86WN1		Q9NZM3	1udl-A	NA	690	515	605	27.5	12	14	0.123	0.809055	-1	
FGF7	P21781		Q02195	1qql-A	NA	194	63	194	92.4	29	36	0.125	0.809055	-1	
FIZ1	Q96SL8		D9IWL3	5v3g-A	NA	496	257	437	23.7	10	15	0.123	0.809055	-1	
FMNL2	Q96PY5		Q9Y4D1	2z6e-B	NA	1086	610	1009	30.9	44	46	0.125	0.809055	-1	
FRMPD3	Q5JV73		Q00944	2al6-A	NA	1810	181	501	25.3	41	46	0.123	0.809055	-1	
GFPT1	Q06210		Q06210	2v4m-A	NA	699	336	687	100	44	43	0.122	0.809055	-1	
GGA2	Q9UJY4		Q9UJY4	1mhq-B	NA	613	25	170	100	13	19	0.125	0.809055	-1	
GPBAR1	Q8TDU6		Q92633	4z34-A	NA	330	11	302	25.9	25	27	0.123	0.809055	-1	
GPI	P06744		P06744	1jlh-B	NA	558	2	557	100	89	94	0.125	0.809055	-1	
GPR3	P46089		P21453	3v2y-A	NA	330	15	312	27.8	34	38	0.124	0.809055	-1	
GRM7	Q14831		Q14831	3mq4-A	NA	915	41	509	100	137	172	0.123	0.809055	-1	
GRPEL1	Q9HAV7		Q56236	3a6m-A	NA	217	34	216	29.9	17	19	0.125	0.809055	-1	
GSDMD	P57764		P57764	5wqt-B	NA	484	277	482	100	19	20	0.123	0.809055	-1	
HERC2	O95714		O95714	4l1m-B	NA	4834	422	779	100	55	62	0.123	0.809055	-1	
HIST1H2BC	P62807		P62807	5gt0-H	NA	126	33	126	100	24	25	0.121	0.809055	-1	
HLTF	Q14527		Q9CZW6	4qpl-C	NA	1009	759	829	40	15	15	0.12	0.809055	-1	
HNRNPA0	Q13151		P09651	1po6-A	NA	305	2	182	59.1	25	26	0.125	0.809055	-1	
HNRNPA2B1	P22626	S	P22626	5en1-A	NA	353	12	195	100	38	48	0.12	0.809055	0.529655	
HYOU1	Q9Y4L1		P32589	3c7n-A	NA	999	36	566	27.7	74	79	0.12	0.809055	-1	
IFT172	Q9UG01		B2J0I0	2ymu-A	NA	1749	16	262	21.5	35	43	0.121	0.809055	-1	
IGFBP7	Q16270		Q96JA1	4u7m-A	NA	282	119	268	25.1	17	21	0.123	0.809055	-1	
IGFBPL1	Q8WX77		Q13332	2yd3-A	NA	278	152	261	31.5	24	30	0.125	0.809055	-1	
ING2	Q9H160		Q9UNL4	4afl-C	NA	280	27	123	30	14	16	0.124	0.809055	-1	
IPP	Q9Y573		Q9NVR0	4apf-A	NA	584	8	292	23.8	41	43	0.123	0.809055	-1	
IRF2BP2	Q7Z5L9		Q9H1B7	2cs3-A	NA	587	496	575	90	18	22	0.125	0.809055	-1	
JRK	O75564		P07199	1hlv-A	NA	556	30	94	35.4	12	15	0.123	0.809055	-1	
KCND1	Q9NSA2		P63142	3lut-B	NA	647	40	419	39.8	62	73	0.124	0.809055	-1	
KDR	P35968	"C,S"	P35968	3kvq-A	NA	1356	667	756	100	21	31	0.125	0.809055	0.535316	
KIAA0141	Q14154		A0A0H2VDN9	4bwr-A	NA	515	231	460	27.6	27	32	0.12	0.809055	-1	
KIR2DL3	P43628		P43628	1b6u-A	NA	341	26	224	100	23	25	0.12	0.809055	-1	
KLF9	Q13886		D9IWL3	5v3g-A	NA	244	67	198	29.6	21	24	0.124	0.809055	-1	
KLK6	Q92876		Q92876	1lo6-A	NA	244	22	242	100	48	66	0.125	0.809055	-1	
KPNB1	Q14974		Q14974	1qgr-A	NA	876	1	876	100	110	109	0.125	0.809055	-1	
KYAT3	Q6YP21		Q71RI9	3e2y-B	NA	454	41	450	85.4	69	73	0.125	0.809055	-1	
LMX1B	O60663		P50481	2rgt-B	NA	402	50	173	44.8	18	21	0.121	0.809055	-1	
LPAR5	Q9H1C0		Q08BG4	5xsz-A	NA	372	18	307	36.7	33	37	0.123	0.809055	-1	
LRP2	P98164		P01130	1f5y-A	NA	4655	3512	3548	50	9	10	0.122	0.809055	-1	
LRRC7	Q96NW7		Q96RT1	1n7t-A	NA	1537	1428	1536	59.6	33	39	0.122	0.809055	-1	
LRRFIP1	Q32MZ4		Q32MZ4	4h22-B	NA	808	167	249	100	8	12	0.125	0.809055	-1	
LTN1	O94822		Q04781	5fg0-B	NA	1766	36	329	22.4	50	55	0.123	0.809055	-1	
LXN	Q9BS40		Q9BS40	2bo9-B	NA	222	1	217	100	25	24	0.121	0.809055	-1	
MAGEB2	O15479		P43358	2wa0-A	NA	319	96	305	47.6	54	63	0.12	0.809055	-1	
MARK2	Q7KZI7		Q7KZI7	3iec-C	NA	788	49	363	100	53	62	0.121	0.809055	-1	
MBD3	O95983		O95983	2mb7-A	NA	291	1	70	100	9	11	0.122	0.809055	-1	
MEF2A	Q02078		Q02078	3p57-A	NA	507	2	91	100	17	15	0.124	0.809055	-1	
MET	P08581	"C,S,M"	P08581	2uzy-D	NA	1390	42	741	100	105	122	0.12	0.809055	0.529655	
MGA	Q8IWI9	M	O43435	4a04-B	NA	3026	74	260	51.9	23	25	0.125	0.809055	0.535316	
MKKS	Q9NPJ1		Q877H0	3j1b-M	NA	570	29	457	24.1	55	55	0.124	0.809055	-1	
MRC2	Q9UBG0		P07897	1tdq-B	NA	1479	823	953	33.3	18	22	0.12	0.809055	-1	
MYH14	Q7Z406		P12883	2fxo-A	NA	1995	1067	1178	26.3	14	17	0.12	0.809055	-1	
MYH14	Q7Z406		P12883	4xa1-C	NA	1995	1392	1456	30.6	15	18	0.121	0.809055	-1	
MYH8	P13535		P12883	4xa3-A	NA	1937	1364	1428	93.8	20	26	0.122	0.809055	-1	
NAPB	Q9H115		P54921	3j97-I	NA	298	8	292	83.9	42	45	0.12	0.809055	-1	
NCF1B	A6NI72		P14598	1kq6-A	NA	391	2	142	98.6	12	18	0.121	0.809055	-1	
NFS1	Q9Y697		Q9Y697	5usr-A	NA	457	56	445	100	47	51	0.122	0.809055	-1	
NKX6-1	P78426		P26367	2cue-A	NA	367	237	306	40	16	21	0.123	0.809055	-1	
NOTCH1	P46531	"C,S,M"	O00548	4xbm-B	NA	2555	1031	1347	32.1	40	47	0.125	0.809055	0.535316	
NPHS1	O60500		D0VWS0	3b43-A	NA	1241	270	820	22.2	88	100	0.121	0.809055	-1	
NSUN2	Q08J23		P40991	6em5-q	NA	767	61	431	27.4	47	63	0.125	0.809055	-1	
OBSCN	Q5VST9		Q00872	1x44-A	NA	7968	3274	3360	32.2	18	22	0.125	0.809055	-1	
OR2A25	A4D2G3		P29274	2ydo-A	NA	310	35	306	21.8	81	104	0.124	0.809055	-1	
OR2B3	O76000		P29274	4uhr-A	NA	313	37	305	20.6	62	71	0.125	0.809055	-1	
OR6Q1	Q8NGQ2		P21453	3v2y-A	NA	317	31	309	25.5	60	78	0.121	0.809055	-1	
PABPC3	Q9H361		Q9H361	4ive-A	NA	631	537	612	100	13	15	0.123	0.809055	-1	
PARP1	P09874		P09874	4oqb-C	NA	1014	531	1011	100	63	77	0.125	0.809055	-1	
PCDH17	O14917		Q99PJ1	5kj4-A	NA	1159	576	700	26.1	41	64	0.123	0.809055	-1	
PI3	P19957		P19957	2rel-A	NA	117	61	117	100	20	26	0.121	0.809055	-1	
PLCB1	Q9NQ66		Q01970	4gnk-E	NA	1216	890	1170	32.9	52	62	0.123	0.809055	-1	
POLA1	P09884		P09884	5exr-C	NA	1462	338	1456	100	158	153	0.12	0.809055	-1	
PPARA	Q07869		P10828	2nll-B	NA	468	102	204	41.5	19	23	0.123	0.809055	-1	
PSMG4	Q5JS54		Q5JS54	5wtq-C	NA	123	11	123	100	8	11	0.122	0.809055	-1	
SEC61A1	P61619		P38377	2wwb-A	NA	476	1	476	99.8	68	78	0.124	0.809055	-1	
SEPT2	Q15019		Q15019	2qnr-B	NA	361	36	306	100	34	37	0.121	0.809055	-1	
SIRPB2	Q5JXA9		Q65ZI1	2znw-B	NA	342	38	265	23.2	36	47	0.124	0.809055	-1	
SNRPC	P09234		P09234	2vrd-A	NA	159	1	61	100	14	15	0.121	0.809055	-1	
SPAG16	Q8N0X2		B2J0I0	2ymu-A	NA	631	351	631	33.1	87	116	0.125	0.809055	-1	
SPAST	Q9UBP0		Q9UBP0	3vfd-A	NA	616	324	612	100	36	40	0.124	0.809055	-1	
SQLE	Q14534		Q11R94	3nix-C	NA	574	125	491	22	41	45	0.123	0.809055	-1	
ST13P4	Q8IZP2		P50503	4j8f-A	NA	240	74	230	92.4	25	28	0.123	0.809055	-1	
ST14	Q9Y5Y6		P97333	4gz9-A	NA	855	228	497	24.4	39	42	0.123	0.809055	-1	
STK39	Q9UEW8		O95747	2v3s-A	NA	545	451	545	76.8	13	14	0.121	0.809055	-1	
STX12	Q86Y82		Q86Y82	2dnx-A	NA	276	18	134	100	11	11	0.124	0.809055	-1	
SULT1A1	P50225		P50225	3qvv-B	NA	295	8	295	100	59	67	0.124	0.809055	-1	
SVEP1	Q4LDE5		P02741	3l2y-N	NA	3571	1438	1619	31.2	39	52	0.121	0.809055	-1	
TBL1Y	Q9BQ87		Q9BZK7	4lg9-A	NA	522	162	522	89.8	17	18	0.125	0.809055	-1	
TFPI	P10646		P10646	1irh-A	NA	304	210	270	100	14	19	0.12	0.809055	-1	
TGM2	P21980		P21980	1kv3-C	NA	687	15	687	100	118	126	0.125	0.809055	-1	
TINAG	Q9UJW2		Q8MNY2	4i04-B	NA	476	156	466	30.6	79	110	0.122	0.809055	-1	
